ROMANEIO;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
TP;TIPO;PRODUTO;DESCRICAO;FAMILIA;NUM.PEDIDO;ROMANEIO;EMISSAO;ENTREGA;ITEM;SALDO;COD.CLIENTE;CLIENTE;REDE;ESTADO;MUNICIPIO;VENDEDOR;TIPO.FRETE;RESERVA;STATUS;ROTA;PES0.BRUTO;TP.VEICULO;OBS.PEDIDO;OBS.SOBEL;OBS.PROTHEUS
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045154; ;20/09/2018;27/09/2018; 06;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1301.17.06X02L;DESINF.SUPREMA FLORES DO CAMPO-06X2L; 3001; 045154; ;20/09/2018;27/09/2018; 07;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045154; ;20/09/2018;27/09/2018; 08;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045154; ;20/09/2018;27/09/2018; 09;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,68;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1301.20.06X02L;DESINF.SUPREMA OCEANIC - 06X02L; 3001; 045154; ;20/09/2018;27/09/2018; 10;4; 015582;SAMUEL PELOSO MEDEIROS;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,68;TOCO;ALTERAR PRAZO PARA 28 DDL , REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00
PVS;PV;1001.01.12X01L;AGUA SANITARIA SUPREMA-12X01L; 4001; 045249; ;24/09/2018;01/10/2018; 01;10; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;133,8;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1201.11.06X02L;AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L; 1001; 045249; ;24/09/2018;01/10/2018; 02;5; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;65,25;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1201.12.06X02L;AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X2L; 1001; 045249; ;24/09/2018;01/10/2018; 03;3; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;39,15;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1201.13.06X02L;AMAC.SUPREMA-LA FELICITA-AMARELO-06X2L; 1001; 045249; ;24/09/2018;01/10/2018; 04;3; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;39,15;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1201.14.06X02L;AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L; 1001; 045249; ;24/09/2018;01/10/2018; 05;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,2;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045249; ;24/09/2018;01/10/2018; 06;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1301.17.06X02L;DESINF.SUPREMA FLORES DO CAMPO-06X2L; 3001; 045249; ;24/09/2018;01/10/2018; 07;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045249; ;24/09/2018;01/10/2018; 08;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;51,84;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045249; ;24/09/2018;01/10/2018; 09;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,68;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1301.20.06X02L;DESINF.SUPREMA OCEANIC - 06X02L; 3001; 045249; ;24/09/2018;01/10/2018; 10;4; 015673;SAMUEL PELOSO MEDEIROS ME;PELOSO;RJ;BARRA DO PIRAI;ANUAR DEBS FILHO;CIF;0;LIB P/ GERAR ROM;BARRA DO PIRAI - RJ;52,68;;REDESPACHO RGI;ENTREGAR NO REDESPACHO RGI;
PVS;PV;1001.01.03X05L;AGUA SANITARIA SUPREMA-03X05L; 4001; 045315; ;25/09/2018;02/10/2018; 01;2; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;33,2;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1001.01.06X02L;AGUA SANITARIA SUPREMA-06X02L; 4001; 045315; ;25/09/2018;02/10/2018; 02;5; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;66,65;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1201.11.06X02L;AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L; 1001; 045315; ;25/09/2018;02/10/2018; 03;4; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;52,2;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1201.12.06X02L;AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X2L; 1001; 045315; ;25/09/2018;02/10/2018; 04;2; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;26,1;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1201.13.06X02L;AMAC.SUPREMA-LA FELICITA-AMARELO-06X2L; 1001; 045315; ;25/09/2018;02/10/2018; 05;2; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;26,1;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1201.14.06X02L;AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L; 1001; 045315; ;25/09/2018;02/10/2018; 06;2; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;26,1;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045315; ;25/09/2018;02/10/2018; 07;3; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;38,88;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.17.06X02L;DESINF.SUPREMA FLORES DO CAMPO-06X2L; 3001; 045315; ;25/09/2018;02/10/2018; 08;3; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;38,88;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045315; ;25/09/2018;02/10/2018; 09;3; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;38,88;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045315; ;25/09/2018;02/10/2018; 10;3; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;39,51;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.20.06X02L;DESINF.SUPREMA OCEANIC - 06X02L; 3001; 045315; ;25/09/2018;02/10/2018; 11;3; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;39,51;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1501.23.12X01L;LAVA ROUPAS LIQUIDO SUPREMA ULTRA ACAO-12X01L; 1001; 045315; ;25/09/2018;02/10/2018; 12;1; 015556;CASA SIMOES MERCEARIA LTDA;;RJ;VALENCA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;VALENCA - RJ;13,2;TOCO;REDESPACHO RGI;ENTREGA NO REDESPACHO RGI;
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045316; ;25/09/2018;02/10/2018; 01;7; 015610;J L DA ROCHA ARIEIRA EPP;;MG;RIO PRETO;ANUAR DEBS FILHO;;7;LIB P/ GERAR ROM;RIO PRETO - MG;90,72;TOCO;REDESPACHO RGI;ALMOCO DAS 12:00 AS 14:00;ENTREGAR NO REDESPACHO
PVS;PV;1301.17.06X02L;DESINF.SUPREMA FLORES DO CAMPO-06X2L; 3001; 045316; ;25/09/2018;02/10/2018; 02;5; 015610;J L DA ROCHA ARIEIRA EPP;;MG;RIO PRETO;ANUAR DEBS FILHO;;5;LIB P/ GERAR ROM;RIO PRETO - MG;64,8;TOCO;REDESPACHO RGI;ALMOCO DAS 12:00 AS 14:00;ENTREGAR NO REDESPACHO
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045316; ;25/09/2018;02/10/2018; 03;6; 015610;J L DA ROCHA ARIEIRA EPP;;MG;RIO PRETO;ANUAR DEBS FILHO;;6;LIB P/ GERAR ROM;RIO PRETO - MG;77,76;TOCO;REDESPACHO RGI;ALMOCO DAS 12:00 AS 14:00;ENTREGAR NO REDESPACHO
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045316; ;25/09/2018;02/10/2018; 04;6; 015610;J L DA ROCHA ARIEIRA EPP;;MG;RIO PRETO;ANUAR DEBS FILHO;;6;LIB P/ GERAR ROM;RIO PRETO - MG;79,02;TOCO;REDESPACHO RGI;ALMOCO DAS 12:00 AS 14:00;ENTREGAR NO REDESPACHO
PVS;PV;1301.20.06X02L;DESINF.SUPREMA OCEANIC - 06X02L; 3001; 045316; ;25/09/2018;02/10/2018; 05;5; 015610;J L DA ROCHA ARIEIRA EPP;;MG;RIO PRETO;ANUAR DEBS FILHO;;5;LIB P/ GERAR ROM;RIO PRETO - MG;65,85;TOCO;REDESPACHO RGI;ALMOCO DAS 12:00 AS 14:00;ENTREGAR NO REDESPACHO
PVS;PV;1001.01.06X02L;AGUA SANITARIA SUPREMA-06X02L; 4001; 045394; ;27/09/2018;04/10/2018; 01;3; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;39,99;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1001.01.12X01L;AGUA SANITARIA SUPREMA-12X01L; 4001; 045394; ;27/09/2018;04/10/2018; 02;3; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;40,14;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1201.11.06X02L;AMAC.SUPREMA-ALEGRES ENCANTO-AZUL-06X2L; 1001; 045394; ;27/09/2018;04/10/2018; 03;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;26,1;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1201.12.06X02L;AMAC.SUPREMA-TOQUE DE AMOR-ROSA-06X2L; 1001; 045394; ;27/09/2018;04/10/2018; 04;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;26,1;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1201.13.06X02L;AMAC.SUPREMA-LA FELICITA-AMARELO-06X2L; 1001; 045394; ;27/09/2018;04/10/2018; 05;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;26,1;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1201.14.06X02L;AMAC.SUPREMA-EXP.CARINHO-BRANCO/LILAS -06X02L; 1001; 045394; ;27/09/2018;04/10/2018; 06;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;26,1;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1301.15.06X02L;DESINF.SUPREMA EXTRATO DE EUCALIPTO-06X2L; 3001; 045394; ;27/09/2018;04/10/2018; 07;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;25,92;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1301.17.06X02L;DESINF.SUPREMA FLORES DO CAMPO-06X2L; 3001; 045394; ;27/09/2018;04/10/2018; 08;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;25,92;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1301.18.06X02L;DESINF.SUPREMA LAVANDA BOUQUET-06X02L; 3001; 045394; ;27/09/2018;04/10/2018; 09;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;25,92;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1301.19.06X02L;DESINF.SUPREMA PINHO - 06X02L; 3001; 045394; ;27/09/2018;04/10/2018; 10;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;26,34;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1701.30.24X500;LIMP. MULTI USO SUPREMA TRADICIONAL-24X500ML; 2001; 045394; ;27/09/2018;04/10/2018; 11;1; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;14,3;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
PVS;PV;1701.31.24X500;LIMP. MULTI-USO SUPREMA CAMPESTRE 24X500ML; 2001; 045394; ;27/09/2018;04/10/2018; 12;2; 015602;MERCADO FRANCISQUINI LTDA;;RJ;MIGUEL PEREIRA;ANUAR DEBS FILHO;;0;LIB P/ GERAR ROM;MIGUEL PEREIRA - RJ;28,6;TOCO;REDESPACHO RGI;HORARIO DE ALMOCO 12:00 AS 14:00;REDESPACHO RGI LOGISTICA
